name,price
هارد اکسترنال Silicon Power Armor A60 External Hard Drive - 2TB - مشکی,"39,200,000"
هارد اکسترنال Silicon Power مدل Armor A65 ظرفیت 2TB - مشکی زرد,"39,700,000"
هارد اکسترنال Apacer مدل AC630 ظرفیت 1TB - مشکی نارنجی,"30,500,000"
هارد اکسترنال Apacer مدل AC630 ظرفیت 2TB - مشکی نارنجی,"37,300,000"
هارد اکسترنال ADATA مدل HD710 Pro ظرفیت 1TB - مشکی (گارانتی شرکت آونگ),"26,500,000"
هارد اکسترنال Apacer مدل AC631 ظرفیت 1TB - مشکی آبی,"30,500,000"
هارد اکسترنال ADATA مدل HD710 Pro ظرفیت 2TB - آبی (گارانتی شرکت آونگ),"33,500,000"
هارد اکسترنال Western Digital مدل My Passport ظرفیت 1TB - مشکی (گارانتی سازگار ارقام),"20,990,000"
هارد اکسترنال Western Digital مدل Elements ظرفیت 1TB - مشکی (گارانتی ایران رهجو),"21,000,000"
هارد اکسترنال silicon power USB3.2-1TB مدل Armor A80 مشکی,"32,100,000"
هارد اکسترنال silicon power USB3.2-1TB مدل Armor A30 سفید,"30,000,000"
هارد اکسترنال Western Digital مدل My Passport ظرفیت 2TB - مشکی (گارانتی سازگار ارقام),"26,990,000"
هارد اکسترنال ADATA مدل HD680 ظرفیت 2TB - مشکی (گارانتی شرکت آونگ),"32,800,000"
هارد WD Green SSD مدل WDS480G2G0A ظرفیت 480GB,"12,990,000"
هارد اکسترنال ADATA مدل Durable HD650 ظرفیت 2TB - آبی (گارانتی شرکت آونگ),"32,800,000"
هارد اکسترنال ADATA مدل HD770G ظرفیت 2TB - مشکی (گارانتی شرکت آونگ),"36,700,000"
هارد اکسترنال silicon power USB3.2-1TB مدل Armor A30 مشکی نارنجی,"30,000,000"
Adata C008 CLASSIC USB 2.0 Flash Memory- 32GB سفید آبی (گارانتی مادام شرکت آونگ),"1,400,000"
هارد Silicon Power SSD مدل S55 ظرفیت 240GB,"9,850,000"
هارد اکسترنال ADATA مدل Durable HD650 ظرفیت 2TB - قرمز (گارانتی شرکت آونگ),"32,800,000"
Western Digital My Passport -1TB هارد اکسترنال (New Face) (گارانتی ایران رهجو) مشکی,"20,800,000"
هارد اینترنال ADATA SSD مدل SU650 ظرفیت 240GB - مشکی (گارانتی شرکت آونگ)  ,"7,490,000"
هارد اکسترنال ADATA مدل Durable HD330 ظرفیت 2TB - مشکی (گارانتی شرکت آونگ),"32,800,000"
هارد اکسترنال silicon power USB3.2-1TB مدل Armor A62-مشکی آبی,"30,300,000"
